turn,player_move,player_result,bot_move,bot_result,player_board,bot_board
1,4 5,Miss,4 4,Hit,S~~~~~~~S~S~~~SSS~~~S~~~~~~~~~S~~~~~~~~~~~~SX~~SS~~~~~~~~~~~~~~~~~~SSS~~~~S~~~~~~~~~~~~~~S~~~~S~~S~S,~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~M~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
2,4 4,Miss,5 5,Miss,S~~~~~~~S~S~~~SSS~~~S~~~~~~~~~S~~~~~~~~~~~~SX~~SS~~~~~~M~~~~~~~~~~~SSS~~~~S~~~~~~~~~~~~~~S~~~~S~~S~S,~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~MM~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
3,0 0,Miss,5 4,Miss,S~~~~~~~S~S~~~SSS~~~S~~~~~~~~~S~~~~~~~~~~~~SX~~SS~~~~~MM~~~~~~~~~~~SSS~~~~S~~~~~~~~~~~~~~S~~~~S~~S~S,M~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~MM~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
4,9 9,Miss,5 3,Miss,S~~~~~~~S~S~~~SSS~~~S~~~~~~~~~S~~~~~~~~~~~~SX~~SS~~~~MMM~~~~~~~~~~~SSS~~~~S~~~~~~~~~~~~~~S~~~~S~~S~S,M~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~MM~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~M
5,0 9,Miss,4 5,Miss,S~~~~~~~S~S~~~SSS~~~S~~~~~~~~~S~~~~~~~~~~~~SXM~SS~~~~MMM~~~~~~~~~~~SSS~~~~S~~~~~~~~~~~~~~S~~~~S~~S~S,M~~~~~~~~M~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~MM~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~M
6,9 0,Miss,4 3,Ship destroyed,S~~~~~~~S~S~~~SSS~~~S~~~~~~~~~S~MMMM~~~~~~MXXM~SS~~~MMMM~~~~~~~~~~~SSS~~~~S~~~~~~~~~~~~~~S~~~~S~~S~S,M~~~~~~~~M~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~MM~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~M~~~~~~~~M
7,4 7,Miss,2 9,Miss,S~~~~~~~S~S~~~SSS~~~S~~~~~~~~MS~MMMM~~~~~~MXXM~SS~~~MMMM~~~~~~~~~~~SSS~~~~S~~~~~~~~~~~~~~S~~~~S~~S~S,M~~~~~~~~M~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~MM~M~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~M~~~~~~~~M
8,8 8,Ship destroyed,1 0,Hit,S~~~~~~~S~X~~~SSS~~~S~~~~~~~~MS~MMMM~~~~~~MXXM~SS~~~MMMM~~~~~~~~~~~SSS~~~~S~~~~~~~~~~~~~~S~~~~S~~S~S,M~~~~~~~~M~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~MM~M~~~~~~~~~~~~~~~~~~~~~~~~~~~~~MMM~~~~~~~MXMM~~~~~~MMM
9,5 5,Miss,2 1,Miss,S~~~~~~~S~X~~~SSS~~~SM~~~~~~~MS~MMMM~~~~~~MXXM~SS~~~MMMM~~~~~~~~~~~SSS~~~~S~~~~~~~~~~~~~~S~~~~S~~S~S,M~~~~~~~~M~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~MM~M~~~~~~~M~~~~~~~~~~~~~~~~~~~~~MMM~~~~~~~MXMM~~~~~~MMM
10,6 6,Miss,2 0,Hit,S~~~~~~~S~X~~~SSS~~~XM~~~~~~~MS~MMMM~~~~~~MXXM~SS~~~MMMM~~~~~~~~~~~SSS~~~~S~~~~~~~~~~~~~~S~~~~S~~S~S,M~~~~~~~~M~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~MM~M~~~~~~~M~~~~~~~~~~M~~~~~~~~~~MMM~~~~~~~MXMM~~~~~~MMM
11,3 3,Miss,3 1,Miss,S~~~~~~~S~X~~~SSS~~~XM~~~~~~~MSMMMMM~~~~~~MXXM~SS~~~MMMM~~~~~~~~~~~SSS~~~~S~~~~~~~~~~~~~~S~~~~S~~S~S,M~~~~~~~~M~~~~~~~~~~~~~~~~~~~~~~~M~~~~~~~~~~MM~M~~~~~~~M~~~~~~~~~~M~~~~~~~~~~MMM~~~~~~~MXMM~~~~~~MMM
12,2 2,Miss,3 0,Hit,S~~~~~~~S~X~~~SSS~~~XM~~~~~~~MXMMMMM~~~~~~MXXM~SS~~~MMMM~~~~~~~~~~~SSS~~~~S~~~~~~~~~~~~~~S~~~~S~~S~S,M~~~~~~~~M~~~~~~~~~~~~M~~~~~~~~~~M~~~~~~~~~~MM~M~~~~~~~M~~~~~~~~~~M~~~~~~~~~~MMM~~~~~~~MXMM~~~~~~MMM
13,1 1,Miss,4 1,Miss,S~~~~~~~S~X~~~SSS~~~XM~~~~~~~MXMMMMM~~~~~MMXXM~SS~~~MMMM~~~~~~~~~~~SSS~~~~S~~~~~~~~~~~~~~S~~~~S~~S~S,M~~~~~~~~M~M~~~~~~~~~~M~~~~~~~~~~M~~~~~~~~~~MM~M~~~~~~~M~~~~~~~~~~M~~~~~~~~~~MMM~~~~~~~MXMM~~~~~~MMM
14,1 5,Miss,4 0,Miss,S~~~~~~~S~X~~~SSS~~~XM~~~~~~~MXMMMMM~~~~MMMXXM~SS~~~MMMM~~~~~~~~~~~SSS~~~~S~~~~~~~~~~~~~~S~~~~S~~S~S,M~~~~~~~~M~M~~~M~~~~~~M~~~~~~~~~~M~~~~~~~~~~MM~M~~~~~~~M~~~~~~~~~~M~~~~~~~~~~MMM~~~~~~~MXMM~~~~~~MMM
15,1 8,Miss,1 1,Miss,S~~~~~~~S~XM~~SSS~~~XM~~~~~~~MXMMMMM~~~~MMMXXM~SS~~~MMMM~~~~~~~~~~~SSS~~~~S~~~~~~~~~~~~~~S~~~~S~~S~S,M~~~~~~~~M~M~~~M~~M~~~M~~~~~~~~~~M~~~~~~~~~~MM~M~~~~~~~M~~~~~~~~~~M~~~~~~~~~~MMM~~~~~~~MXMM~~~~~~MMM
16,2 5,Miss,1 1,Miss,S~~~~~~~S~XM~~SSS~~~XM~~~~~~~MXMMMMM~~~~MMMXXM~SS~~~MMMM~~~~~~~~~~~SSS~~~~S~~~~~~~~~~~~~~S~~~~S~~S~S,M~~~~~~~~M~M~~~M~~M~~~M~~M~~~~~~~M~~~~~~~~~~MM~M~~~~~~~M~~~~~~~~~~M~~~~~~~~~~MMM~~~~~~~MXMM~~~~~~MMM
17,2 6,Miss,0 1,Miss,SM~~~~~~S~XM~~SSS~~~XM~~~~~~~MXMMMMM~~~~MMMXXM~SS~~~MMMM~~~~~~~~~~~SSS~~~~S~~~~~~~~~~~~~~S~~~~S~~S~S,M~~~~~~~~M~M~~~M~~M~~~M~~MM~~~~~~M~~~~~~~~~~MM~M~~~~~~~M~~~~~~~~~~M~~~~~~~~~~MMM~~~~~~~MXMM~~~~~~MMM
18,3 6,Miss,0 0,Ship destroyed,XM~~~~~~S~XM~~SSS~~~XM~~~~~~~MXMMMMM~~~~MMMXXM~SS~~~MMMM~~~~~~~~~~~SSS~~~~S~~~~~~~~~~~~~~S~~~~S~~S~S,M~~~~~~~~M~M~~~M~~M~~~M~~MM~~~~~~M~~M~~~~~~~MM~M~~~~~~~M~~~~~~~~~~M~~~~~~~~~~MMM~~~~~~~MXMM~~~~~~MMM
19,4 0,Miss,0 7,Miss,XM~~~~~MS~XM~~SSS~~~XM~~~~~~~MXMMMMM~~~~MMMXXM~SS~~~MMMM~~~~~~~~~~~SSS~~~~S~~~~~~~~~~~~~~S~~~~S~~S~S,M~~~~~~~~M~M~~~M~~M~~~M~~MM~~~~~~M~~M~~~M~~~MM~M~~~~~~~M~~~~~~~~~~M~~~~~~~~~~MMM~~~~~~~MXMM~~~~~~MMM
20,5 2,Miss,4 8,Hit,XM~~~~~MS~XM~~SSS~~~XM~~~~~~~MXMMMMM~~~~MMMXXM~SX~~~MMMM~~~~~~~~~~~SSS~~~~S~~~~~~~~~~~~~~S~~~~S~~S~S,M~~~~~~~~M~M~~~M~~M~~~M~~MM~~~~~~M~~M~~~M~~~MM~M~~~~M~~M~~~~~~~~~~M~~~~~~~~~~MMM~~~~~~~MXMM~~~~~~MMM
21,6 3,Miss,5 9,Miss,XM~~~~~MS~XM~~SSS~~~XM~~~~~~~MXMMMMM~~~~MMMXXM~SX~~~MMMM~~~M~~~~~~~SSS~~~~S~~~~~~~~~~~~~~S~~~~S~~S~S,M~~~~~~~~M~M~~~M~~M~~~M~~MM~~~~~~M~~M~~~M~~~MM~M~~~~M~~M~~~~~~~M~~M~~~~~~~~~~MMM~~~~~~~MXMM~~~~~~MMM
22,7 3,Miss,5 8,Miss,XM~~~~~MS~XM~~SSS~~~XM~~~~~~~MXMMMMM~~~~MMMXXM~SX~~~MMMM~~MM~~~~~~~SSS~~~~S~~~~~~~~~~~~~~S~~~~S~~S~S,M~~~~~~~~M~M~~~M~~M~~~M~~MM~~~~~~M~~M~~~M~~~MM~M~~~~M~~M~~~~~~~M~~M~~~~~~M~~~MMM~~~~~~~MXMM~~~~~~MMM
23,8 3,Miss,5 7,Miss,XM~~~~~MS~XM~~SSS~~~XM~~~~~~~MXMMMMM~~~~MMMXXM~SX~~~MMMM~MMM~~~~~~~SSS~~~~S~~~~~~~~~~~~~~S~~~~S~~S~S,M~~~~~~~~M~M~~~M~~M~~~M~~MM~~~~~~M~~M~~~M~~~MM~M~~~~M~~M~~~~~~~M~~M~~~~~~M~~~MMM~~~M~~~MXMM~~~~~~MMM
24,5 0,Miss,4 9,Miss,XM~~~~~MS~XM~~SSS~~~XM~~~~~~~MXMMMMM~~~~MMMXXM~SXM~~MMMM~MMM~~~~~~~SSS~~~~S~~~~~~~~~~~~~~S~~~~S~~S~S,M~~~~~~~~M~M~~~M~~M~~~M~~MM~~~~~~M~~M~~~M~~~MM~M~~M~M~~M~~~~~~~M~~M~~~~~~M~~~MMM~~~M~~~MXMM~~~~~~MMM
25,5 1,Ship destroyed,4 7,Ship destroyed,XM~~~~~MS~XM~~SSS~~~XM~~~~~~~MXMMMMMMMMMMMMXXMMXXM~~MMMMMMMM~~~~~~~SSS~~~~S~~~~~~~~~~~~~~S~~~~S~~S~S,M~~~~~~~~M~M~~~M~~M~~~M~~MM~~~~~~M~~M~~~MMM~MM~M~~MXM~~M~~~~MMMM~~M~~~~~~M~~~MMM~~~M~~~MXMM~~~~~~MMM
26,0 5,Hit,6 2,Miss,XM~~~~~MS~XM~~SSS~~~XM~~~~~~~MXMMMMMMMMMMMMXXMMXXM~~MMMMMMMM~~M~~~~SSS~~~~S~~~~~~~~~~~~~~S~~~~S~~S~S,M~~~~X~~~M~M~~~M~~M~~~M~~MM~~~~~~M~~M~~~MMM~MM~M~~MXM~~M~~~~MMMM~~M~~~~~~M~~~MMM~~~M~~~MXMM~~~~~~MMM
27,0 6,Miss,0 3,Miss,XM~M~~~MS~XM~~SSS~~~XM~~~~~~~MXMMMMMMMMMMMMXXMMXXM~~MMMMMMMM~~M~~~~SSS~~~~S~~~~~~~~~~~~~~S~~~~S~~S~S,M~~~~XM~~M~M~~~M~~M~~~M~~MM~~~~~~M~~M~~~MMM~MM~M~~MXM~~M~~~~MMMM~~M~~~~~~M~~~MMM~~~M~~~MXMM~~~~~~MMM
